Date,Forecast,Lower,Upper,Safety_Stock,Reorder_Point,Recommended_Stock
2011-12-10,9092.1146625596,-6908.576064513545,24177.7387805896,15085.62411803,24177.7387805896,26595.51265864856
2011-12-11,31278.12769849135,14934.315257945342,47057.17993934173,15779.052240850382,47057.17993934173,51762.89793327591
2011-12-12,41419.028711586616,25525.542389464583,56979.8337638329,15560.805052246287,56979.8337638329,62677.8171402162
2011-12-13,42497.55740269773,27051.86665964957,58572.45293417937,16074.895531481641,58572.45293417937,64429.69822759731
2011-12-14,37970.480809164,22473.201420481982,53588.86502285744,15618.38421369344,53588.86502285744,58947.75152514319
2011-12-15,43508.25408998059,28174.401912611516,59056.95941275325,15548.705322772657,59056.95941275325,64962.655354028575
2011-12-16,32759.35360278393,17390.288547727385,48363.18903889941,15603.835436115478,48363.18903889941,53199.50794278935
2011-12-17,0.0,-17651.80918234609,13981.589453800872,13981.589453800872,13981.589453800872,15379.74839918096
2011-12-18,19796.24240627581,4718.958024220125,35355.02982331239,15558.78741703658,35355.02982331239,38890.532805643634
2011-12-19,29710.32325500653,14089.7419116399,45427.53287587074,15717.20962086421,45427.53287587074,49970.286163457815
2011-12-20,30730.857690701872,15324.881754354155,46010.209446480425,15279.351755778553,46010.209446480425,50611.23039112847
2011-12-21,26320.346970658167,11122.753430085646,41534.89266851984,15214.545697861671,41534.89266851984,45688.38193537183
2011-12-22,32150.96378889476,16396.925757365538,48133.98457826688,15983.02078937212,48133.98457826688,52947.38303609357
2011-12-23,21868.764875894027,5838.992524938628,37690.01783249152,15821.252956597491,37690.01783249152,41459.019615740675
2011-12-24,0.0,-26588.17102665825,3384.4847320969266,3384.4847320969266,3384.4847320969266,3722.9332053066196
2011-12-25,10330.30816242909,-4719.882836219544,25203.750231426653,14873.442068997563,25203.750231426653,27724.12525456932
2011-12-26,21177.264460229584,5576.056120469425,36307.21030315977,15129.945842930189,36307.21030315977,39937.93133347575
2011-12-27,23254.897898011423,9188.562867109997,39196.75204103811,15941.854143026689,39196.75204103811,43116.427245141924
2011-12-28,20004.601107222778,5073.096886547269,35526.860538731846,15522.259431509068,35526.860538731846,39079.54659260503
2011-12-29,27074.814201886205,11885.567005392511,42330.38583683744,15255.571634951237,42330.38583683744,46563.42442052119
2011-12-30,18085.80719729233,2174.643614214725,32163.410956340187,14077.603759047855,32163.410956340187,35379.75205197421
2011-12-31,0.0,-30573.00553468472,101.32072539886074,101.32072539886074,101.32072539886074,111.45279793874683
2012-01-01,9184.91910146903,-6029.710638260549,23970.781054135747,14785.861952666717,23970.781054135747,26367.859159549324
2012-01-02,21320.26181126469,5175.478892248916,36322.399363889344,15002.137552624656,36322.399363889344,39954.63930027828
2012-01-03,24629.29431852844,9650.609274443765,40073.29024410948,15443.995925581039,40073.29024410948,44080.61926852043
2012-01-04,22527.36102180641,6313.413430991677,36949.27078869226,14421.909766885849,36949.27078869226,40644.19786756149
2012-01-05,30638.84352635948,15694.164375103644,44920.18507538363,14281.341549024153,44920.18507538363,49412.203582922004
2012-01-06,22562.55098728413,7224.017499764879,36902.44992840226,14339.898941118132,36902.44992840226,40592.69492124249
2012-01-07,0.0,-25187.227627571658,6622.486407196062,6622.486407196062,6622.486407196062,7284.7350479156685
2012-01-08,15031.743278312326,-348.4643769265272,30221.99735036207,15190.254072049745,30221.99735036207,33244.19708539828
